BFI-10
Olyannak látom magam, mint aki zárkózott, tartózkodó.
Olyannak látom magam, mint aki általában megbízik másokban.
Olyannak látom magam, mint aki hajlamos a lustaságra.
Olyannak látom magam, mint aki nyugodt és a stresszt jól kezeli.
Olyannak látom magam, mint aki kevéssé érdeklődik a művészetek iránt.
Olyannak látom magam, mint aki társaságkedvelő.
Olyannak látom magam, mint aki alapos és precíz munkát végez.
Olyannak látom magam, mint aki hajlamos másokban keresni a hibát.
Olyannak látom magam, mint aki könnyen ideges lesz.
Olyannak látom magam, mint aki élénk képzelőerővel rendelkezik.
